Entity,Year,Temperature anomaly,Oceanic Niño Index (ONI) anomaly
April,1950,-0.836648,-1.12
April,1951,-0.71882915,-0.04
April,1952,-0.7059593,0.33
April,1953,-0.50220203,0.48
April,1954,-0.77287674,0.01
April,1955,-0.84453773,-0.58
April,1956,-0.8796396,-0.57
April,1957,-0.66009617,0.26
April,1958,-0.53918743,1.17
April,1959,-0.46754837,0.48
April,1960,-0.7444658,0.06
April,1961,-0.5174122,0.01
April,1962,-0.59061337,-0.15
April,1963,-0.7342434,0.01
April,1964,-0.87139225,0.06
April,1965,-0.8030367,-0.04
April,1966,-0.69640446,0.76
April,1967,-0.65558624,-0.5
April,1968,-0.6871834,-0.63
April,1969,-0.4611292,0.77
April,1970,-0.4808731,0.23
April,1971,-0.7092209,-1.08
April,1972,-0.61412716,0.04
April,1973,-0.41615963,0.56
April,1974,-0.7592621,-1.24
April,1975,-0.6411934,-0.61
April,1976,-0.8217974,-0.65
April,1977,-0.50898075,0.33
April,1978,-0.5516424,0.17
April,1979,-0.5085182,0.29
April,1980,-0.18407059,0.35
April,1981,-0.21317005,-0.41
April,1982,-0.537735,0.07
April,1983,-0.2767191,1.52
April,1984,-0.46905327,-0.38
April,1985,-0.47266388,-0.85
April,1986,-0.2999115,-0.25
April,1987,-0.33420658,1.02
April,1988,-0.18895054,-0.03
April,1989,-0.3149414,-1.09
April,1990,-0.052470207,0.3
April,1991,-0.12276268,0.23
April,1992,-0.4195671,1.4
April,1993,-0.32597828,0.5
April,1994,-0.28054428,0.04
April,1995,-0.11935139,0.46
April,1996,-0.3444929,-0.52
April,1997,-0.3279724,-0.03
April,1998,0.12081814,1.4
April,1999,-0.30352116,-0.93
April,2000,-0.08273029,-0.98
April,2001,-0.15341854,-0.43
April,2002,-0.063630104,0.11
April,2003,-0.12009716,0.38
April,2004,-0.014400482,0.19
April,2005,0.07043171,0.4
April,2006,-0.069927216,-0.63
April,2007,0.17370224,-0.12
April,2008,-0.126688,-1.37
April,2009,-0.060088158,-0.63
April,2010,0.25240517,0.88
April,2011,0.0136089325,-0.85
April,2012,0.054305077,-0.44
April,2013,-0.036406517,-0.23
April,2014,0.10949421,-0.02
April,2015,0.056487083,0.72
April,2016,0.5295439,1.69
April,2017,0.32820606,0.27
April,2018,0.3051052,-0.55
April,2019,0.43720055,0.87
April,2020,0.52027035,0.57
April,2021,0.19053555,-0.74
April,2022,0.2832718,-0.77
April,2023,0.3205328,-0.11
April,2024,0.67018795,1.18
April,2025,0.6011734,-0.08
April,2026,0.5236006,0.11
August,1950,-0.8166046,-0.62
August,1951,-0.48820114,0.71
August,1952,-0.6869316,-0.45
August,1953,-0.52975655,0.63
August,1954,-0.80227757,-0.67
August,1955,-0.5998764,-0.72
August,1956,-0.88370514,-0.55
August,1957,-0.5275841,0.96
August,1958,-0.57756615,0.43
August,1959,-0.59372425,-0.19
August,1960,-0.53197956,0.01
August,1961,-0.54902935,0.08
August,1962,-0.60115623,0
August,1963,-0.3528309,0.76
August,1964,-0.6946621,-0.67
August,1965,-0.6724491,1.1
August,1966,-0.5796337,0.25
August,1967,-0.57115364,-0.02
August,1968,-0.652915,0.44
August,1969,-0.6583824,0.37
August,1970,-0.68392754,-0.55
August,1971,-0.7044306,-0.68
August,1972,-0.45670414,1
August,1973,-0.6240673,-0.99
August,1974,-0.62120056,-0.46
August,1975,-0.83821774,-1.08
August,1976,-0.75347805,0.23
August,1977,-0.4668398,0.39
August,1978,-0.72218895,-0.37
August,1979,-0.40953922,0.09
August,1980,-0.28450108,0.18
August,1981,-0.23632145,-0.28
August,1982,-0.45393944,0.78
August,1983,-0.2498312,0.25
August,1984,-0.4386263,-0.39
August,1985,-0.39429283,-0.44
August,1986,-0.4373436,0.24
August,1987,-0.27093315,1.3
August,1988,-0.1666317,-1.3
August,1989,-0.32171345,-0.37
August,1990,-0.16622066,0.26
August,1991,-0.13983059,0.77
August,1992,-0.48837852,0.35
August,1993,-0.38467598,0.28
August,1994,-0.38456535,0.3
August,1995,-0.10714722,-0.3
August,1996,-0.1117897,-0.22
August,1997,-0.13426113,1.48
August,1998,0.1411953,-0.63
August,1999,-0.23782349,-0.9
August,2000,-0.1753006,-0.48
August,2001,-0.051208496,-0.05
August,2002,-0.04685974,0.57
August,2003,0.04565239,0.09
August,2004,-0.1618433,0.39
August,2005,0.02933693,-0.04
August,2006,0.07070732,0.12
August,2007,-0.019002914,-0.49
August,2008,-0.07928467,-0.33
August,2009,0.04493332,0.5
August,2010,0.045850754,-0.98
August,2011,0.11047745,-0.37
August,2012,0.07608986,0.28
August,2013,0.054332733,-0.45
August,2014,0.13554573,0.07
August,2015,0.24180412,1.44
August,2016,0.4007702,-0.19
August,2017,0.295475,0.14
August,2018,0.20798874,0.2
